Plug_ID,Species,Treatment,Timepoint,Sample_Date,ColorScore,PhotoTP,PhotoDate,Notes
2306,Pacuta,ATAC,11,20181215,14.14032709,Time12,20181214,
2357,Pacuta,ATAC,9,20181103,-6.86549609,Time6,20181103,
2363,Pacuta,ATAC,1,20180922,NA,NA,NA,Sampled prior to photos taken
2380,Mcapitata,HTAC,11,20181215,8.25234879,Time12,20181214,
2386,Mcapitata,HTAC,8,20181020,14.56660458,Time4,20181018,
2402,Mcapitata,ATAC,6,20180929,NA,NA,NA,Sampled prior to photos taken
2403,Mcapitata,ATAC,12,20190112,14.60586994,Time16,20190111,
2409,Pacuta,ATHC,7,20181006,12.16192076,Time2,20181005,
2410,Mcapitata,HTAC,8,20181020,-4.07570562,Time4,20181018,
2412,Mcapitata,HTAC,9,20181103,10.60205849,Time6,20181102,
2413,Pacuta,ATAC,7,20181006,12.41562385,Time2,20181003,
2414,Pacuta,HTAC,1,20180922,NA,NA,NA,Sampled prior to photos taken
2419,Mcapitata,HTHC,7,20181006,11.75619786,Time2,20181005,
2511,Mcapitata,HTHC,11,20181215,5.13368945,Time12,20181214,
2513,Pacuta,HTAC,8,20181020,-0.43459075,Time4,20181018,
2518,Mcapitata,HTHC,3,20180922,NA,NA,NA,Sampled prior to photos taken
2527,Pacuta,HTHC,3,20180922,NA,NA,NA,Sampled prior to photos taken
2534,Pacuta,ATHC,3,20180922,NA,NA,NA,Sampled prior to photos taken
2550,Pacuta,ATHC,10,20181117,15.15498743,Time8,20181117,
2554,Mcapitata,ATHC,10,20181117,12.92192740,Time8,20181117,
2555,Mcapitata,ATHC,6,20180929,NA,NA,NA,Sampled prior to photos taken
2561,Mcapitata,ATHC,4,20180922,NA,NA,NA,Sampled prior to photos taken
2564,Pacuta,ATHC,8,20181020,-1.84635215,Time4,20181018,
2668,Pacuta,ATHC,11,20181215,4.30594319,Time12,20181214,
2731,Mcapitata,ATHC,3,20180922,NA,NA,NA,Sampled prior to photos taken
2733,Pacuta,ATHC,4,20180922,NA,NA,NA,Sampled prior to photos taken
